pauta,url,voto
MPV 905/19 - DTQ 39 - PP,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2229308,Sim
MPV 905/19 - DTQ 102 - PSOL,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2229308,Sim
PL 873/2020 - DTQ 15 - PT,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2242868,Não
"MPV 907/19 - DTQ 11 - PSL - Votação da Emenda de Plenário nº 17 (art. 161, II)	",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2230815,Não
"MPV 907/19 - DTQ 3 - PCdoB - Votação do Art. 31, do PLV apresentado à MP 907/19. (com vistas a sua supressão) (161, I)",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2230815,Não
"PL 1079/2020 - DTQ 5 - PSB - Destaque para votação da Emenda nº 13, apresentada ao PL 1079/2020",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2242140,---
"PL 1079/2020 - DTQ 3 - PT - Destaque da expressão ""Fica o Poder Executivo autorizado a suspender por 6 meses a cobrança das parcelas de amortização das dívidas provenientes do programa FIES no período de restrição à locomoção e ou emergência e ou calamidade provocados pela pandemia Covid-19"" contida na Emenda n. 5, apresentada ao PL 1.079/2020",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2242140,Não
"PL 1079/2020 - DTQ 8 - PT - Destaque da Emenda n. 20, apresentada ao PL 1.079/2020",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2242140,Não
"PL 1304/2020 - DTQ 3 - do PT - Destaque para votação em separado do art. 1º do PLV apresentado ao PL 1304/2020, com vista à sua supressão. (art. 161, I)",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2242488,Sim
"PL 1304/2020 - DTQ 1 - do PT -  Requer, nos termos do art. 161, II, e § 2º, RICD, destaque para votação da emenda de plenário de  nº 5.",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2242488,Não
"MPV 915/19 - Requerimento de Retirada de Pauta, do PSOL",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2236213,---
PEC 10/2020 - Requerimento de Adiamento de Discussão - 2 sessões - PT,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2249946,---
"PEC 10/2020 - Votação em Primeiro Turno dos art. 1º, 2º, 3º,  5º, 6º, 7º , 8º e seus incisos I e II, (exceto as alíneas ""a"" a ""f""  constantes do inciso II do art. 8º), 9º, 10, 11, 12, com parecer pela  aprovação, ressalvados os destaques.",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2249946,---
"PEC 10/2020 - Votação, em primeiro turno, o artigo 4º e as alíneas ""a"" a ""f"" constantes do inciso II do art. 8º, com  parecer pela rejeição,  ressalvados os destaques",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2249946,Não
"PEC 10/2020 - DTQ 10 - PSB - Destaque para a votação em separado do parágrafo único do art.3º da PEC 10/20, com vistas a sua supressão. (161,I",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2249946,Sim
"PEC 10/2020 - DTQ 8 - PT - Destaque do Artigo 4º da PEC 10/2020 (fase 2), para inclusão no texto do Substitutivo, onde couber. (161, IV)",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2249946,Não
"PEC 10/2020 - DTQ 1 - PSOL - Destaque para votação em separado do art. 8º da PEC nº 10 de 2020, para fins de supressão(161,I)",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2249946,Sim
"PEC 10/2020 - DTQ 5 - PT - destaque, com vistas à rejeição, da expressão ""secundários"", constante do inciso I do Artigo 8º da PEC 10/2020 (fase 2). (161, I)",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2249946,---
"PEC 10/2020 - DTQ 14 - NOVO - Destaque para a votação em separado do inciso II do Artigo 8º do Substitutivo do Senado da PEC 10/2020, com vistas à sua inclusão no texto.",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2249946,Não
"PEC 10/2020 - DTQ 4 - CIDADANIA - DVS da expressão ""desde que, no momento da compra, tenham classificação em categoria de risco de crédito no mercado local equivalente a BB- ou superior, conferida por pelo menos uma das três maiores agências internacionais de classificação de risco,"", constante do Inciso II do Art. 8º da PEC 10/2020.",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2249946,Sim
"PEC 10/2020 - DTQ 7 - PT - destaque, com vistas à rejeição, da expressão ""acima do mínimo obrigatório estabelecido em lei ou no estatuto social vigente na data de entrada em vigor desta Emenda Constitucional"", constante do inciso I do Artigo 9º da PEC 10/2020 (fase 2). (161, I)",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2249946,Sim
"PEC 10/2020 - DTQ 2 - PSL - Destaque para votação em separado do art. 11 da PEC 10/2020, para suprimi-lo. (161, I)",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2249946,Sim
PEC 10/2020 - Votação emenda de redação nº 1 da Comissão Especial,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2249946,---
PLP39/20 - Votação do requerimento de urgência 920/20 para o PLP 39/20,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2251493,Sim
PLP 039/20- Requerimento de Votação Artigo por Artigo - PSOL,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2251392,Não
"PLP 039/20  - DTQ 9 - PT - destaque de preferência para votação da Emenda de Plenário n. 4, em detrimento do texto original do PLP 39/2020 (ou de texto que o substitua). (161, IV)",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2251392,Não
REQ 57/2021 - Requerimento de Urgência (Art. 155 do RICD) nº 57/2021,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2269049,---
"PLP 039/20  - DTQ 18 - PSOL-  destaque de preferência para votação da Emenda de Plenário n. 31, em detrimento do texto original do PLP 39/2020 (ou de texto que o substitua). (161, IV)",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2251392,Não
"PLP39/20 - Votação das emendas de Plenário com parecer pela rejeição, ressalvados os destaques",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2251392,---
"PLP39/20 - Votação da emenda de Plenário 115 com parecer pela aprovação, ressalvado os destaques",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2251392,Sim
"PLP39/20 - Votação do PLP 39/20, ressalvados os destaques",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2251392,Sim
REQ 78/2021 - Requerimento de Urgência (Art. 155 do RICD) nº 78/2021,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2269480,---
REQ 79/2021 - Requerimento de Urgência (Art. 155 do RICD) nº 79/2021,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2269481,---
"PLP 039/20  - DTQ 13 - NOVO-  destaque para votação em separado  da expressão ""taxa de"" constante do inciso I, do §1º, do art. 5º do PLP 39/20, com vistas à sua supressão. (161, I)",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2251392,Sim
"PLP 039/20  - DTQ 4 - PSB - votação em separado do art. 7º do PLP 39/20, para sua supressão (art. 161, I)",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2251392,Sim
PLP 19/2019 - Req Ad Disc 2 Sessões - Requerimento para Adiamento de Discussão por 2 Sessões ,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2265124,---
PLP 19/2019 - Req Ad Disc 1 Sessão - Requerimento para Adiamento de Discussão por 1 Sessão ,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2265124,---
"PLP 19/2019 - Vot Nom Req
 - Requerimento para Votação Nominal do Requerimento de retirada de pauta",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2265124,---
PLP 19/2019 - Req Ret Pauta - Requerimento para Retirada de Pauta ,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2265124,Não
PLP 19/2019 - Req Vot  Art por Art - Requerimento para Votação Artigo por Artigo ,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2265124,---
"PLP 039/20  - DTQ 2 - PT - destaque para votação em separado do art. 8º constante do PLP 39/2020 (art. 161, I)",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2251392,Sim
"PLP 039/20  - DTQ 21 - PODEMOS -  destaque para votação em separado da emenda nº 113 apresentada ao PLP 39/2020. (161, II)",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2251392,Não
